eyalet,county,bant,satis_adedi,medyan_fiyat,medyan_usd_donum
FL,Lee,0-0,25 ac,6569,30000,126511
FL,Lee,0,25-0,5 ac,3650,27000,87962
FL,Sumter,0-0,25 ac,2353,401700,2971450
FL,Marion,0-0,25 ac,2291,25000,106244
FL,Charlotte,0-0,25 ac,2176,21000,98010
FL,Brevard,0-0,25 ac,1670,38000,165214
FL,Marion,0,25-0,5 ac,1507,30000,92993
FL,Marion,0,5-1,5 ac,1427,35500,38362
FL,Citrus,0,25-0,5 ac,1334,19500,63055
FL,Citrus,0-0,25 ac,1302,15500,69696
FL,Lee,0,5-1,5 ac,1280,27000,51990
FL,Highlands,0-0,25 ac,1156,13200,58982
FL,Citrus,0,5-1,5 ac,880,32000,35879
FL,Highlands,0,25-0,5 ac,830,16000,52087
FL,Hernando,0,25-0,5 ac,569,36000,82399
FL,Charlotte,0,25-0,5 ac,555,32500,94023
FL,Levy,0,5-1,5 ac,508,20000,19022
FL,Hernando,0,5-1,5 ac,482,38350,45163
FL,Brevard,0,25-0,5 ac,476,44000,147063
FL,Highlands,0,5-1,5 ac,415,26000,30662
FL,Okeechobee,0,5-1,5 ac,399,22500,18000
FL,Bay,0-0,25 ac,317,119000,647941
FL,Hernando,0-0,25 ac,306,50000,226512
FL,Marion,5+ ac,304,320000,26085
FL,Marion,1,5-5 ac,295,98000,38065
FL,Brevard,0,5-1,5 ac,277,62500,64286
FL,Alachua,0-0,25 ac,250,317700,2116528
FL,Citrus,1,5-5 ac,245,77500,29001
FL,Putnam,0-0,25 ac,239,5500,25001
FL,Levy,0-0,25 ac,233,7300,33337
FL,Bay,0,5-1,5 ac,202,55000,75632
FL,Levy,1,5-5 ac,162,56500,16000
FL,Wakulla,0-0,25 ac,161,15000,128952
FL,Levy,5+ ac,157,172000,10625
FL,Sumter,0,25-0,5 ac,143,655200,2272902
FL,Charlotte,0,5-1,5 ac,140,64500,77265
FL,Bay,0,25-0,5 ac,140,55000,180717
FL,Putnam,0,5-1,5 ac,135,16600,17308
FL,Brevard,1,5-5 ac,133,145000,52569
FL,Putnam,0,25-0,5 ac,129,8000,20714
FL,Dixie,1,5-5 ac,122,37000,11299
FL,Highlands,5+ ac,122,180000,17328
FL,Levy,0,25-0,5 ac,118,15000,37645
FL,Lee,1,5-5 ac,116,325000,117236
FL,Hernando,1,5-5 ac,115,110000,40823
FL,Okeechobee,0,25-0,5 ac,108,30000,89767
FL,Holmes,5+ ac,103,120000,3849
FL,Alachua,5+ ac,102,165000,15485
FL,Bay,1,5-5 ac,99,65000,26151
FL,Okeechobee,1,5-5 ac,98,55000,21540
FL,Gulf,0,5-1,5 ac,94,50000,71921
FL,Madison,5+ ac,91,90000,5941
FL,Gulf,0-0,25 ac,89,107500,943142
