apn,kayit_tipi,alim_fiyati,alim_tarihi,satis_fiyati,pesinat,aylik,vade,faiz,statu,marj,carpan,bolge,acres,ilan_baslik,kaynak_url,snapshot_tarihi,eslesme_notu
339-17-168,belirsiz,,,,1,,,,,,,22N 19W 29,2.06,,http://web.archive.org/web/20230922003641/https://discountlots.com/property/339-17-168/,2023-09-22,arsiv-legacy-metin-akreaj-yakin-onaylandi
403-16-028,belirsiz,,,,,,,,,,,35N 9W 36,480,,,,apn_collision-farkli-county:Pinal-akreaj:0.28
217-10-237,dogrulanmis_satis,8117,2026/02/04,,,,,,,,,20N 19W 27,2.23,,,,bulunamadi
313-46-122,dogrulanmis_satis,2000,2025/11/12,6999,1,309,24,,Sold - Paid Off Terms,4999,3.5,23N 14W 3,1.02,Sold!!! ,https://discountlots.com/property/313-46-122,2026-07-13 (canli),canli-inertia-mohave-onaylandi
123-12-008,dogrulanmis_satis,36433,2025/06/02,,,,,,,,,15N 17W 17,39.98,,,,bulunamadi
319-17-509,dogrulanmis_satis,9325,2025/02/28,,,,,,,,,26N 19W 31,1.07,,,,bulunamadi
209-04-149,dogrulanmis_satis,8451,2025/02/12,8451,197,181,60,,Sold - Paid Off Terms,0,1,19N 18W 5,2.35,"Sold!!! Looking for the perfect spot to park your RV or place a mobile home with breathtaking desert views? Own 2.35 acres in Golden Valley, Mohave County, AZ—Mobile Home & RV Friendly, offering endless potential!",https://discountlots.com/property/209-04-149,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-06-221,dogrulanmis_satis,11188,2024/12/20,,,,,,,,,20N 18W 17,2.21,,,,bulunamadi
215-06-206,dogrulanmis_satis,9538,2024/12/18,,,,,,,,,20N 18W 17,2.21,,,,bulunamadi
324-04-410,dogrulanmis_satis,,2024/02/12,11249,1,362,36,,Sold - Paid Off Terms,,,3515 E DEVLIN AVE,0.13,Sold!!! ,https://discountlots.com/property/324-04-410,2026-07-13 (canli),canli-inertia-mohave-onaylandi
122-25-009,dogrulanmis_satis,30000,2023/12/05,39999,750,749,96,,Sold - Cash,9999,1.33,15N 16W 35,40.08,"Sold!!! Looking for Your Dream Land in Mohave County, AZ? Own 40.08 Acres in Lake Havasu City, Mohave County, AZ, and Embrace Endless Possibilities!",https://discountlots.com/property/122-25-009,2026-07-13 (canli),canli-inertia-mohave-onaylandi
333-13-604,dogrulanmis_satis,10000,2023/11/29,15999,197,289,72,,Sold - MLS Title Sale,5999,1.6,7384 E SILVER SPUR DR,0.25,"Sold!!! Looking for your own piece of Mohave County, Arizona? Own 0.25 Acres in Kingman City, AZ – An Acreage Escape!",https://discountlots.com/property/333-13-604,2026-07-13 (canli),canli-inertia-mohave-onaylandi
312-14-088,dogrulanmis_satis,7654,2023/11/22,8789,1,179,84,,Servicing Retained,1135,1.15,25N 15W 13,2.51,Sold!!! ,https://discountlots.com/property/312-14-088,2026-07-13 (canli),canli-inertia-mohave-onaylandi
334-03-172,dogrulanmis_satis,17510,2023/11/22,7999,1,179,60,,Servicing Retained,-9511,0.46,25N 15W 19,2.5,Sold!!! ,https://discountlots.com/property/334-03-172,2026-07-13 (canli),canli-inertia-mohave-onaylandi
334-03-204,dogrulanmis_satis,17510,2023/11/22,7999,1,179,60,,Servicing Retained,-9511,0.46,25N 15W 19,2.5,Sold!!! ,https://discountlots.com/property/334-03-204,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-14-059,dogrulanmis_satis,8900,2023/11/03,11999,1,179,301,,Servicing Retained,3099,1.35,20N 18W 33,1.5,Sold!!! ,https://discountlots.com/property/215-14-059,2026-07-13 (canli),canli-inertia-mohave-onaylandi
123-12-004,dogrulanmis_satis,21957,2023/10/05,39999,1,519,120,,Servicing Retained,18042,1.82,15N 17W 17,39.95,Sold!!! ,https://discountlots.com/property/123-12-004,2026-07-13 (canli),canli-inertia-mohave-onaylandi
208-26-117,dogrulanmis_satis,6000,2023/06/09,6799.15,1,179,60,,Sold - Paid Off Terms,799.1499999999996,1.13,18N 17W 33,2.06,Sold!!! ,https://discountlots.com/property/208-26-117,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-06-207,dogrulanmis_satis,8000,2022/05/26,8999,1,179,60,,Sold - Cash,999,1.12,3789 S PINION RD,2.35,Sold!!! ,https://discountlots.com/property/215-06-207,2026-07-13 (canli),canli-inertia-mohave-onaylandi
313-49-476,dogrulanmis_satis,4499,2021/09/17,6379,1,139,60,,Sold - Cash,1880,1.42,9815 N MEDICINE POINT DR,0.2,Sold!!! ,https://discountlots.com/property/313-49-476,2026-07-13 (canli),canli-inertia-mohave-onaylandi
306-07-227B,envanter,8000,2024/05/03,20287,197,343,84,,Sold - Terms,12287,2.54,274 S HUNT RD,1.17,"Sold!!! Looking for your own private desert retreat with stunning natural beauty? Secure 1.17 acres in Golden Valley, Mohave County, AZ—your gateway to adventure and tranquility in the heart of Arizona&#039;s desert landscape!",https://discountlots.com/property/306-07-227B,2026-07-13 (canli),canli-inertia-mohave-onaylandi
207-02-037B,envanter,3000,2023/10/18,17999,197,329,72,,Servicing Retained,14999,6,16N 18W 15,2.5,"Sold!!! Invest in Versatility: 2.50 Acres for Projects in Yucca, AZ!",https://discountlots.com/property/207-02-037B,2026-07-13 (canli),canli-inertia-mohave-onaylandi
306-45-016V,envanter,12000,2023/10/05,13999,1,252,72,,Available - Website,1999,1.17,21N 18W 6,1.03,"1.03 Acres in Golden Valley, AZ with Flat Land & No HOA Restrictions",https://discountlots.com/property/306-45-016V,2026-07-13 (canli),canli-inertia-mohave-onaylandi
305-06-024A,envanter,10000,2023/06/09,19429,1,350,72,,Servicing Retained,9429,1.94,21N 17W 7,2.27,"Sold!!! Build Your Dreams on 2.27 Acres in Golden Valley, Mohave County, AZ",https://discountlots.com/property/305-06-024A,2026-07-13 (canli),canli-inertia-mohave-onaylandi
334-04-079,envanter,2000,2023/06/05,16999,197,309,72,,Servicing Retained,14999,8.5,25N 15W 21,2.5,"Sold!!! Craving a simpler, more self-sufficient lifestyle? Claim your independence with this 2.5-acre property in Kingman, Arizona! Embrace the homestead life with room for gardens, livestock, and more - your path to sustainable living starts here.",https://discountlots.com/property/334-04-079,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-13-239D,envanter,7200,2023/05/26,14999,1,270,72,,Sold - Terms,7799,2.08,20N 18W 31,1.14,"Sold!!! 1.14 Acres in Golden Valley, AZ with Flat Terrain & No HOA",https://discountlots.com/property/215-13-239D,2026-07-13 (canli),canli-inertia-mohave-onaylandi
339-17-124,envanter,3200,2023/05/09,14999,1,279,72,,Servicing Retained,11799,4.69,22N 19W 29,2.35,"Sold!!! Desiring a serene rural lifestyle? Seize this stunning 2.35-acre land in Golden Valley, Arizona! Embrace tranquility, create your retreat complete with flourishing gardens, cherished pets, and private livestock.",https://discountlots.com/property/339-17-124,2026-07-13 (canli),canli-inertia-mohave-onaylandi
339-12-094,envanter,2100,2023/05/05,9849,197,186,72,,Servicing Retained,7749,4.69,22N 19W 19,2.35,"Sold!!! Claim 2.35 Acres in Golden Valley, Mohave County AZ Flat Desert Lot with Low Taxes Near Kingman!",https://discountlots.com/property/339-12-094,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-12-092A,envanter,3000,2023/04/07,11629,197,216,72,,Servicing Retained,8629,3.88,20N 18W 29,2.28,"Sold!!! Dreaming of open desert views with endless possibilities? Own 2.28 acres in Golden Valley, Mohave County, AZ—Mobile Home & RV Friendly, perfect for off-grid living or weekend getaways, with stunning landscapes and easy access to outdoor adventure!",https://discountlots.com/property/215-12-092A,2026-07-13 (canli),canli-inertia-mohave-onaylandi
210-07-012,envanter,2000,2023/03/30,10999,1,274,48,,Available - Website,8999,5.5,16N 20W 5,2,"2 Acres in Topock, AZ with Flat Land & Ultra-Low Taxes",https://discountlots.com/property/210-07-012,2026-07-13 (canli),canli-inertia-mohave-onaylandi
